id,laptop_ID,Company,Product,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Total Resolution
203,195,210.8,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4.0,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.3,260.0,2073600.0
204,54,914.0,ProBook 430,Notebook,13.3,Intel Core i7 8550U 1.8GHz,8.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1103.0,2073600.0
205,166,949.0,Inspiron 3576,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,AMD Radeon 520,Windows 10,2.13,728.0,2073600.0
207,1225,899.0,IdeaPad 320-15AST,Notebook,15.6,AMD E-Series 9000 2.2GHz,4.0,500GB HDD,AMD Radeon R2 Graphics,Windows 10,2.2,299.0,1049088.0
208,1288,899.0,Yoga 500-14ISK,2 in 1 Convertible,14.0,Intel Core i7 6500U 2.5GHz,4.0,128GB SSD,Intel HD Graphics 520,Windows 10,1.8,638.0,2073600.0
209,1242,949.0,Inspiron 5578,2 in 1 Convertible,15.0,Intel Core i3 7100U 2.4GHz,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,2.08,509.0,2073600.0
210,1123,914.0,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),Notebook,15.6,AMD A6-Series 9220 2.5GHz,4.0,1TB HDD,AMD Radeon R4,Windows 10,2.1,398.0,2073600.0
212,838,559.0,Swift 3,Notebook,14.0,Intel Core i3 7100U 2.4GHz,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.5,619.0,2073600.0
213,704,899.0,Yoga 910-13IKB,2 in 1 Convertible,14.0,Intel Core i7 7500U 2.7GHz,16.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.38,1749.0,2073600.0
214,573,949.0,Latitude 5580,Notebook,15.6,Intel Core i5 7300U 2.6GHz,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,1.93,959.0,1049088.0
216,679,899.0,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,1.9,817.95,2073600.0
217,759,899.0,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,4.0,128GB SSD,Intel HD Graphics 400,Windows 10,1.4,475.0,1049088.0
218,1025,914.0,EliteBook 820,Ultrabook,12.5,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,1.26,1539.0,2073600.0
219,354,963.0,VivoBook Flip,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,4.0,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5,375.0,1049088.0
220,335,949.0,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,32.0,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,2639.0,8294400.0
221,151,1684.0,GE72MVR 7RG,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,2029.0,2073600.0
222,260,949.0,Vostro 5370,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41,949.0,2073600.0
223,578,914.0,14-am079na (N3710/8GB/2TB/W10),Notebook,14.0,Intel Pentium Quad Core N3710 1.6GHz,8.0,2TB HDD,Intel HD Graphics 405,Windows 10,1.94,389.0,1049088.0
225,1127,899.0,V110-15ISK (i3-6006U/4GB/128GB/W10),Notebook,15.6,Intel Core i3 6006U 2.0GHz,4.0,128GB SSD,Intel HD Graphics 520,Windows 10,2.1,429.0,1049088.0
227,373,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,2.4,809.0,2073600.0
228,1287,963.0,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,Intel Core i7 6500U 2.5GHz,4.0,500GB HDD,Nvidia GeForce 920M,Windows 10,2.2,720.32,1049088.0
229,1045,559.0,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,6.0,1TB HDD,AMD Radeon R5,Windows 10,2.1,409.0,1049088.0
230,1169,914.0,15-BA015wm (E2-7110/4GB/500GB/W10),Notebook,15.6,AMD E-Series 7110 1.8GHz,4.0,500GB HDD,AMD Radeon R2 Graphics,Windows 10,1.86,297.0,1049088.0
232,671,914.0,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,Intel Core i3 6006U 2GHz,6.0,1TB HDD,AMD Radeon R5 M430,Windows 10,2.04,539.0,2073600.0
233,323,914.0,ProBook 640,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.95,980.0,2073600.0
234,639,949.0,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1479.0,2073600.0
236,84,914.0,ProBook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,860.0,2073600.0
239,12,914.0,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4.0,500GB HDD,Intel HD Graphics 520,No OS,1.86,344.99,2073600.0
241,1291,914.0,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,Intel Core i7 6500U 2.5GHz,6.0,1TB HDD,AMD Radeon R5 M330,Windows 10,2.19,764.0,1049088.0
242,734,949.0,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8.0,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.2,719.0,2073600.0
243,685,914.0,Chromebook X360,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,8.0,64GB Flash Storage,Intel HD Graphics 500,Chrome OS,1.4,495.0,1049088.0
244,336,1684.0,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1199.0,2073600.0
245,454,949.0,Precision 3520,Workstation,15.6,Intel Xeon E3-1505M V6 3GHz,8.0,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows 10,2.23,1993.0,2073600.0
246,269,949.0,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,AMD Radeon R5 M430,Windows 10,2.24,565.0,2073600.0
247,1124,963.0,Rog GL552VW-CN470T,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.59,1339.0,2073600.0
248,163,1195.0,Satellite Pro,Notebook,15.6,Intel Core i3 6006U 2.2GHz,4.0,500GB HDD,Intel HD Graphics 520,Windows 10,2.1,447.0,1049088.0
249,483,949.0,Precision M5520,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78,2408.0,2073600.0
252,618,949.0,Inspiron 7559,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,16.0,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59,879.01,2073600.0
253,1191,899.0,V110-15ISK (i5-6200U/4GB/500GB/No,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,No OS,2.1,398.0,1049088.0
254,1264,949.0,Latitude 5480,Notebook,14.0,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,1.6,875.0,1049088.0
256,338,963.0,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.0,1334.0,2073600.0
258,908,949.0,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,1TB HDD,Nvidia GeForce GTX 1050Ti,Linux,2.62,929.0,2073600.0
261,678,1340.0,Surface Laptop,Ultrabook,13.5,Intel Core i7 7600U 2.8GHz,8.0,256GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.252,1867.85,3393024.0
262,334,914.0,Elitebook 820,Ultrabook,12.5,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.26,1335.0,2073600.0
263,154,949.0,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62,899.0,2073600.0
266,188,999.9,Mi Notebook,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,Nvidia GeForce MX150,No OS,1.95,1199.0,2073600.0
267,370,899.0,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,8.0,256GB SSD,Nvidia GeForce 920MX,No OS,2.2,499.0,1049088.0
268,1002,949.0,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8.0,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,749.0,1049088.0
269,1255,949.0,Vostro 3559,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,Windows 7,2.24,737.0,1049088.0
270,695,949.0,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4.0,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,545.67,1049088.0
271,1150,899.0,IdeaPad 500-15ISK,Notebook,15.6,Intel Core i7 6500U 2.5GHz,16.0,1.0TB Hybrid,AMD Radeon R7 M360,Windows 10,2.5,1099.0,2073600.0
272,833,899.0,ThinkPad X1,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB Flash Storage,Intel HD Graphics 620,Windows 10,1.13,1875.0,2073600.0
274,1017,914.0,Probook 440,Notebook,14.0,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,1.64,779.0,1049088.0
275,1130,949.0,XPS 13,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8.0,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,2073600.0
276,1259,963.0,ZenBook UX310UA-WB71,Ultrabook,13.3,Intel Core i7 6500U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.45,1280.0,2073600.0
280,885,1624.0,Notebook 9,Ultrabook,15.0,Intel Core i7 7500U 2.7GHz,16.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.23,1849.0,2073600.0
281,1026,914.0,Elitebook 840,Notebook,14.0,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.48,1590.0,2073600.0
282,1304,899.0,IdeaPad 100S-14IBR,Notebook,14.0,Intel Celeron Dual Core N3050 1.6GHz,2.0,64GB Flash Storage,Intel HD Graphics,Windows 10,1.5,229.0,1049088.0
283,563,265.0,SmartBook 130,Notebook,13.3,Intel Atom x5-Z8350 1.44GHz,4.0,32GB Flash Storage,Intel HD Graphics,Windows 10,1.35,255.0,2073600.0
284,1199,899.0,IdeaPad 310-15IKB,Ultrabook,15.6,Intel Core i7 7500U 2.7GHz,6.0,256GB SSD,Nvidia GeForce 920M,Windows 10,1.54,831.0,2073600.0
288,489,914.0,ProBook 430,Notebook,13.3,Intel Core i5 8250U 1.6GHz,4.0,128GB SSD,Intel UHD Graphics 620,Windows 10,1.49,726.0,2073600.0
289,1213,914.0,Pavilion Power,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,12.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.21,1327.0,2073600.0
290,472,963.0,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4.0,500GB HDD,Intel HD Graphics 500,Windows 10,2.0,304.0,1049088.0
291,83,1339.69,"MacBook 12""",Ultrabook,12.0,Intel Core i5 1.3GHz,8.0,512GB SSD,Intel HD Graphics 615,macOS,0.92,1510.0,3317760.0
292,904,899.0,ThinkPad T470s,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.32,1799.0,2073600.0
293,289,559.0,Aspire A517-51G,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8.0,256GB SSD,Nvidia GeForce MX150,Windows 10,3.0,951.0,2073600.0
296,682,914.0,Pavilion X360,2 in 1 Convertible,14.0,Intel Core i3 7100U 2.4GHz,4.0,128GB SSD,Nvidia GeForce 940MX,Windows 10,1.63,699.0,2073600.0
300,213,899.0,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,597.0,1049088.0
301,9,963.0,ZenBook UX430UN,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,16.0,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,1495.0,2073600.0
302,515,914.0,Envy 13-AB002nv,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.34,1323.0,2073600.0
303,380,949.0,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,869.01,2073600.0
305,279,1195.0,Satellite Pro,Notebook,15.6,Intel Core i7 6500U 2.5GHz,8.0,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2,812.0,1049088.0
306,650,899.0,ThinkPad X1,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,16.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.14,2450.0,2073600.0
307,879,559.0,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Notebook,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.56,902.0,2073600.0
308,610,1684.0,Laptop MSI,Gaming,17.3,Intel Core i7 6820HK 2.7GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows 10,4.14,2199.0,2073600.0
311,276,963.0,Rog Strix,Gaming,17.3,AMD Ryzen 1700 3GHz,16.0,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,1549.0,2073600.0
313,333,963.0,VivoBook S15,Ultrabook,15.6,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,1049.9,2073600.0
314,1277,1684.0,GE62 Apache,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.4,1229.0,2073600.0
315,1283,899.0,IdeaPad Y700-15ISK,Notebook,15.6,Intel Core i7 6700HQ 2.6GHz,8.0,1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.6,899.0,2073600.0
318,167,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1079.0,2073600.0
319,1266,899.0,V510-15IKB (i5-7200U/8GB/256GB/FHD/No,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,No OS,2.3,573.0,2073600.0
320,181,1684.0,GT80S 6QF-074US,Gaming,18.4,Intel Core i7 6920HQ 2.9GHz,32.0,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4,2799.0,2073600.0
321,205,899.0,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,Intel Core i5 6200U 2.3GHz,4.0,128GB SSD,Intel HD Graphics 520,Windows 10,2.1,493.0,1049088.0
322,574,739.0,Lifebook A557,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.2,739.0,1049088.0
323,5,1339.69,MacBook Pro,Ultrabook,13.3,Intel Core i5 3.1GHz,8.0,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,4096000.0
324,97,559.0,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,847.0,2073600.0
325,662,914.0,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4.0,500GB HDD,Intel HD Graphics 520,No OS,1.86,364.9,1049088.0
327,169,1684.0,GE63VR 7RE,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.4,1799.0,2073600.0
328,613,1195.0,Tecra Z50-C-144,Notebook,15.6,Intel Core i7 6500U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,2.2,1399.0,2073600.0
329,306,963.0,Rog GL702VS-GC095T,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,2122.0,2073600.0
330,202,914.0,Omen 17-W295,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,1379.0,2073600.0
331,993,963.0,Rog GL753VE-DS74,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.99,1749.0,2073600.0
332,806,949.0,Latitude 3580,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.95,810.0,1049088.0
333,789,949.0,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,32.0,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,4.42,3588.8,2073600.0
335,1265,963.0,Rog GL502VS,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.34,2325.0,2073600.0
339,460,899.0,ThinkPad T470,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.65,1345.0,2073600.0
340,248,949.0,Inspiron 5577,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8.0,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56,879.0,2073600.0
341,533,899.0,IdeaPad 320-15IKB,Notebook,15.6,Intel Core i7 7500U 2.7GHz,4.0,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.2,799.0,2073600.0
342,314,914.0,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4.0,1TB HDD,Intel HD Graphics 520,Windows 10,1.86,469.0,2073600.0
344,1183,949.0,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1498.0,8294400.0
345,796,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,4.0,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4,999.0,2073600.0
347,867,963.0,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4.0,1TB HDD,Intel HD Graphics 505,Windows 10,2.0,449.0,1049088.0
348,211,949.0,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1949.0,8294400.0
349,1175,899.0,ThinkPad T460s,Ultrabook,14.0,Intel Core i7 6600U 2.6GHz,12.0,512GB SSD,Intel HD Graphics 520,Windows 7,1.4,2299.0,2073600.0
351,963,559.0,Chromebook 14,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.68,349.0,1049088.0
352,48,963.0,Rog Strix,Gaming,17.3,AMD Ryzen 1700 3GHz,8.0,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,1299.0,2073600.0
353,966,1195.0,Portege Z30-C-1CW,Notebook,13.3,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,1.2,1460.0,2073600.0
354,216,963.0,ROG GL703VD-GC028T,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,1407.0,2073600.0
355,957,1195.0,Tecra A50-C-1ZV,Notebook,15.6,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,2.2,1119.0,1049088.0
356,431,949.0,Alienware 17,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,2799.0,3686400.0
359,751,899.0,Flex 5,2 in 1 Convertible,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.7,999.0,2073600.0
360,266,899.0,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,4.0,256GB SSD,Intel HD Graphics 520,No OS,2.2,444.0,2073600.0
361,309,963.0,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1265.0,2073600.0
362,763,963.0,Pro P2540UA-XO0192R,Notebook,15.6,Intel Core i7 7500U 2.7GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.37,849.9,1049088.0
365,1039,914.0,Elitebook 820,Ultrabook,12.5,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.26,1559.0,1049088.0
366,1136,914.0,Spectre Pro,Notebook,13.3,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.16,1690.0,2073600.0
367,66,914.0,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,690.0,2073600.0
368,1252,1339.69,MacBook Air,Ultrabook,11.6,Intel Core i5 1.6GHz,4.0,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.08,959.0,1049088.0
370,749,949.0,Vostro 3568,Notebook,15.6,Intel Core i3 6006U 2GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,2.0,665.0,1049088.0
372,1295,559.0,Aspire ES1-531,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4.0,500GB HDD,Intel HD Graphics 400,Linux,2.4,289.0,1049088.0
373,1177,914.0,Spectre Pro,2 in 1 Convertible,13.3,Intel Core i7 6600U 2.6GHz,8.0,512GB SSD,Intel HD Graphics 520,Windows 10,1.48,2041.0,3686400.0
374,538,1195.0,Satellite Pro,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,500GB HDD,Intel HD Graphics 620,Windows 10,2.0,860.0,2073600.0
375,559,949.0,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,2699.0,2073600.0
377,636,949.0,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.0,1820.0,2073600.0
378,614,899.0,IdeaPad 310-15IKB,Notebook,15.6,Intel Core i5 7200U 2.5GHz,6.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.4,564.0,2073600.0
379,348,914.0,ProBook 450,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8.0,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.1,716.0,2073600.0
380,768,559.0,Aspire 3,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.1,599.0,1049088.0
381,705,963.0,Chromebook Flip,2 in 1 Convertible,12.5,Intel Core M M3-6Y30 0.9GHz,4.0,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,1.2,669.0,2073600.0
382,191,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8.0,256GB SSD,Nvidia GeForce GTX 1050,No OS,2.4,779.0,2073600.0
387,311,914.0,EliteBook x360,2 in 1 Convertible,13.3,Intel Core i7 7600U 2.8GHz,16.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,1975.0,2073600.0
388,494,949.0,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,1899.0,2073600.0
389,580,899.0,Thinkpad E570,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,830.0,2073600.0
390,308,899.0,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,2TB HDD,Nvidia GeForce 940MX,No OS,2.2,549.0,1049088.0
392,1030,914.0,ProBook 450,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.04,769.99,1049088.0
393,1180,914.0,Pavilion 15-cb003nv,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,899.0,2073600.0
395,803,1339.69,"MacBook 12""",Ultrabook,12.0,Intel Core M 1.2GHz,8.0,512GB Flash Storage,Intel HD Graphics 5300,Mac OS X,0.92,1165.0,3317760.0
396,1168,899.0,V110-15ISK (i3-6006U/4GB/1TB/No,Notebook,15.6,Intel Core i3 6006U 2.0GHz,4.0,1TB HDD,Intel HD Graphics 520,No OS,1.9,339.0,1049088.0
399,453,559.0,Aspire ES1-572,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,Linux,2.4,441.8,1049088.0
400,45,949.0,Inspiron 7773,2 in 1 Convertible,17.3,Intel Core i5 8250U 1.6GHz,12.0,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,999.0,2073600.0
401,170,559.0,Aspire 3,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4.0,1TB HDD,Intel HD Graphics 505,Windows 10,2.1,363.51,1049088.0
402,1077,949.0,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,16.0,2TB HDD,AMD Radeon R7 M445,Windows 10,2.32,989.99,2073600.0
403,377,559.0,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4.0,128GB SSD,AMD Radeon R5,Windows 10,2.1,426.0,1049088.0
404,1281,559.0,Aspire ES1-531,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4.0,500GB HDD,Intel HD Graphics 400,Linux,2.4,289.0,1049088.0
405,1119,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1199.0,2073600.0
406,488,949.0,Vostro 3568,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,586.6,1049088.0
